物件名,所在地,最寄り駅,徒歩分,築年数,階数,間取り,面積,家賃,URL,築年数_num,面積_num,家賃_num,徒歩分_num,駅名,家賃_per_㎡,log_家賃_per_㎡
ベルクオーレ,大分県大分市顕徳町１,大分駅,ＪＲ日豊本線/大分駅 歩9分,築7年,10階,2LDK,62.04m2,9.2万円,https://suumo.jp/chintai/jnc_000099615582/?bc=100444983280,7,62.04,9.2,9,大分駅,0.14829142488716957,-1.9085758542533435
シリウス花高松,大分県大分市花高松１,高城駅,ＪＲ日豊本線/高城駅 歩30分,築27年,6階,1DK,28m2,4.1万円,https://suumo.jp/chintai/jnc_000099619953/?bc=100445000094,27,28.0,4.1,30,高城駅,0.1464285714285714,-1.921217536464942
ユナイテッド羽屋,大分県大分市羽屋新町１,南大分駅,"ＪＲ久大本線/南大分駅 歩16分
ＪＲ久大本線/古国府駅 歩20分
ＪＲ日豊本線/大分駅 歩34分",築35年,5階,1DK,34.47m2,3.85万円,https://suumo.jp/chintai/jnc_000099615596/?bc=100444945300,35,34.47,3.85,16,南大分駅,0.1116913257905425,-2.192016232229081
ヴェルジュ・萩原,大分県大分市萩原１,牧駅,ＪＲ日豊本線/牧駅 歩11分,築27年,4階,1K,25.16m2,3.6万円,https://suumo.jp/chintai/jnc_000098553956/?bc=100438237749,27,25.16,3.6,11,牧駅,0.14308426073131955,-1.9443215863701755
パークサイド久野　II,大分県大分市角子原２,大在駅,ＪＲ日豊本線/大在駅 歩11分,築28年,2階,1K,25.13m2,3.4万円,https://suumo.jp/chintai/jnc_000099010561/?bc=100442491616,28,25.13,3.4,11,大在駅,0.13529645841623558,-2.000286919933385
マリアルーサ松原,大分県大分市松原町１,高城駅,ＪＲ日豊本線/高城駅 歩13分,築36年,4階,2K,34m2,3.3万円,https://suumo.jp/chintai/jnc_000098087189/?bc=100444945304,36,34.0,3.3,13,高城駅,0.09705882352941175,-2.332438056143727
シェーンドルフ中津留,大分県大分市中津留２,大分駅,ＪＲ日豊本線/大分駅 バス10分 (バス停)中高校前 歩7分,築26年,4階,1K,25m2,3.8万円,https://suumo.jp/chintai/jnc_000097387845/?bc=100429806197,26,25.0,3.8,7,大分駅,0.152,-1.8838747581358606
舞鶴町貸家松本邸,大分県大分市舞鶴町２,大分駅,ＪＲ日豊本線/大分駅 歩30分,築32年,3階,5DK,90.57m2,9万円,https://suumo.jp/chintai/jnc_000099615589/?bc=100444962343,32,90.57,9.0,30,大分駅,0.09937065253395165,-2.3088984550506377
サンセベリア三佐,大分県大分市大字三佐,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩29分
ＪＲ日豊本線/高城駅 車11分(4.2km)
大分バス/八坂 歩8分",築35年,2階,2K,38.5m2,3.75万円,https://suumo.jp/chintai/jnc_000099537576/?bc=100444513140,35,38.5,3.75,29,鶴崎駅,0.09740259740259741,-2.328902401311419
シティハイツ21,大分県大分市牧３,牧駅,"ＪＲ日豊本線/牧駅 歩11分
バス/萩原 歩2分
バス/新貝 歩6分",築34年,4階,1K,26.6m2,3.4万円,https://suumo.jp/chintai/jnc_000087177563/?bc=100444934179,34,26.6,3.4,11,牧駅,0.12781954887218044,-2.0571357841655376
ベル古国府,大分県大分市古国府６,古国府駅,"ＪＲ久大本線/古国府駅 歩9分
ＪＲ豊肥本線/大分駅 歩29分
ＪＲ日豊本線/大分駅 歩29分",築38年,4階,1DK,28.5m2,3.3万円,https://suumo.jp/chintai/jnc_000099609250/?bc=100444936114,38,28.5,3.3,9,古国府駅,0.11578947368421053,-2.15598161880217
サンライズコート,大分県大分市中島西２,大分駅,ＪＲ日豊本線/大分駅 歩18分,築6年,2階,3LDK,82.75m2,11.5万円,https://suumo.jp/chintai/jnc_000079424837/?bc=100443920407,6,82.75,11.5,18,大分駅,0.13897280966767372,-1.9734769788879678
ヴィルヌーブ,大分県大分市花津留２,牧駅,ＪＲ日豊本線/牧駅 歩8分,築34年,4階,1K,26.46m2,2.9万円,https://suumo.jp/chintai/jnc_000048329939/?bc=100445000065,34,26.46,2.9,8,牧駅,0.10959939531368103,-2.2109234216943814
スカイコート今津留,大分県大分市今津留２,牧駅,ＪＲ日豊本線/牧駅 歩19分,築38年,3階,1K,25m2,3.4万円,https://suumo.jp/chintai/jnc_000080967458/?bc=100444768239,38,25.0,3.4,19,牧駅,0.136,-1.995100393246085
若竹ビル,大分県大分市府内町２,大分駅,ＪＲ日豊本線/大分駅 歩7分,築62年,4階,1LDK,66m2,7.5万円,https://suumo.jp/chintai/jnc_000099628822/?bc=100445045003,62,66.0,7.5,7,大分駅,0.11363636363636363,-2.174751721484161
ビレッジハウス美園II3号棟,大分県大分市大字中戸次,中判田駅,"ＪＲ豊肥本線/中判田駅 歩41分
ＪＲ豊肥本線/竹中駅 歩58分
ＪＲ豊肥本線/大分大学前駅 歩84分",築54年,5階,2K,33.09m2,3.05万円,https://suumo.jp/chintai/jnc_000099276121/?bc=100442924966,54,33.09,3.05,41,中判田駅,0.0921728618918102,-2.3840895313142005
ベレオ西大道,大分県大分市西大道２,大分駅,"ＪＲ日豊本線/大分駅 歩17分
ＪＲ久大本線/古国府駅 歩30分
ＪＲ久大本線/南大分駅 歩29分",築4年,3階,2LDK,65.64m2,13.3万円,https://suumo.jp/chintai/jnc_000079028742/?bc=100429187696,4,65.64,13.3,17,大分駅,0.20262035344302257,-1.5964212309941819
ビレッジハウス美園II７号棟,大分県大分市大字中戸次,中判田駅,ＪＲ豊肥本線/中判田駅 歩44分,築54年,5階,2K,33.51m2,2.7万円,https://suumo.jp/chintai/jnc_000099567107/?bc=100444683822,54,33.51,2.7,44,中判田駅,0.08057296329453896,-2.5185921287389355
ベルクレール,大分県大分市日岡２,高城駅,ＪＲ日豊本線/高城駅 歩15分,築8年,3階,1K,30.85m2,4.6万円,https://suumo.jp/chintai/jnc_000099292291/?bc=100442680920,8,30.85,4.6,15,高城駅,0.14910858995137763,-1.9030804468563476
ヴィラ・キャレットIII,大分県大分市久原南１,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩14分,築12年,2階,1LDK,46.55m2,4.5万円,https://suumo.jp/chintai/jnc_000099560378/?bc=100440010013,12,46.55,4.5,14,坂ノ市駅,0.0966702470461869,-2.336449606946802
ブリエ・ヴェルジェＣ,大分県大分市大字荏隈,南大分駅,ＪＲ久大本線/南大分駅 歩11分,築12年,3階,1SK,31.65m2,4.5万円,https://suumo.jp/chintai/jnc_000097008727/?bc=100425683569,12,31.65,4.5,11,南大分駅,0.14218009478672985,-1.9506607518139112
レジェンド,大分県大分市大字角子原,大在駅,"ＪＲ日豊本線/大在駅 歩18分
ＪＲ日豊本線/鶴崎駅 歩40分",築15年,2階,2LDK,57.07m2,4.8万円,https://suumo.jp/chintai/jnc_000098380344/?bc=100427664795,15,57.07,4.8,18,大在駅,0.0841072367268267,-2.4756626666347716
ＳＨＩＮＹ,大分県大分市坂ノ市西２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩15分,築17年,2階,2LDK,58.86m2,4.85万円,https://suumo.jp/chintai/jnc_000098947529/?bc=100399262895,17,58.86,4.85,15,坂ノ市駅,0.08239891267414202,-2.496183037855935
メゾン　ド　ラフレシール　Ｂ,大分県大分市里２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩13分
ＪＲ日豊本線/大在駅 バス7分 (バス停)王の瀬 歩3分
ＪＲ日豊本線/大分駅 バス43分 (バス停)王の瀬 歩3分",築18年,2階,2LDK,58.86m2,4.8万円,https://suumo.jp/chintai/jnc_000090250605/?bc=100429806189,18,58.86,4.8,13,坂ノ市駅,0.08154943934760449,-2.5065458248914814
コーリンエステートエビスII,大分県大分市恵比寿町,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩9分,築14年,2階,2LDK,57.63m2,4.75万円,https://suumo.jp/chintai/jnc_000099136311/?bc=100441893865,14,57.63,4.75,9,坂ノ市駅,0.08242234947076175,-2.4958986474020253
秦永ビル,大分県大分市田中町１,南大分駅,"ＪＲ久大本線/南大分駅 歩10分
ＪＲ久大本線/古国府駅 歩26分
ＪＲ日豊本線/大分駅 バス13分 (バス停)田中北 歩4分",築3年,3階,1K,36.96m2,5.45万円,https://suumo.jp/chintai/jnc_000099502746/?bc=100439018529,3,36.96,5.45,10,南大分駅,0.14745670995670995,-1.9142206380983307
キャピタルマンション,大分県大分市大字森町,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 バス7分 (バス停)森町下 歩8分
ＪＲ日豊本線/高城駅 バス18分 (バス停)森町下 歩8分
ＪＲ日豊本線/大分駅 バス30分 (バス停)森町下 歩8分",築14年,3階,2LDK,55.2m2,5.3万円,https://suumo.jp/chintai/jnc_000067224447/?bc=100445045049,14,55.2,5.3,8,鶴崎駅,0.09601449275362318,-2.3432561327249735
サンコーポＢ棟,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩8分,築28年,3階,3LDK,61.98m2,5万円,https://suumo.jp/chintai/jnc_000067784306/?bc=100444825035,28,61.98,5.0,8,滝尾駅,0.08067118425298483,-2.5173738399255017
ＪＲ久大本線 古国府駅 2階建 築9年,大分県大分市南太平寺３,古国府駅,ＪＲ久大本線/古国府駅 歩13分,築9年,2階,1LDK,32.44m2,4.9万円,https://suumo.jp/chintai/jnc_000099587459/?bc=100444807323,9,32.44,4.9,13,古国府駅,0.15104808877928486,-1.8901570241306311
ヴィラ・キャレット　II,大分県大分市久原中央３,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩15分,築18年,2階,2LDK,58.86m2,4.7万円,https://suumo.jp/chintai/jnc_000096604595/?bc=100434107313,18,58.86,4.7,15,坂ノ市駅,0.0798504926945294,-2.5275992340893136
サンハイツ　奈良,大分県大分市大字津守,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩14分
ＪＲ久大本線/古国府駅 歩17分",築13年,2階,1LDK,44.86m2,5万円,https://suumo.jp/chintai/jnc_000096022938/?bc=100388376082,13,44.86,5.0,14,滝尾駅,0.11145786892554614,-2.194108616657962
グレース・Ｋ,大分県大分市浜中,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩10分
ＪＲ日豊本線/大在駅 歩42分
ＪＲ日豊本線/幸崎駅 歩62分",築18年,2階,2LDK,54.85m2,4.85万円,https://suumo.jp/chintai/jnc_000099151378/?bc=100442556870,18,54.85,4.85,10,坂ノ市駅,0.08842297174111212,-2.4256234817718476
ヒルズ上野,大分県大分市上野丘東,古国府駅,"ＪＲ久大本線/古国府駅 歩12分
大分バス/古国府 歩5分",築7年,2階,1LDK,29.71m2,5万円,https://suumo.jp/chintai/jnc_000098474546/?bc=100443895517,7,29.71,5.0,12,古国府駅,0.1682935038707506,-1.782045777040416
ＪＲ久大本線 古国府駅 2階建 築7年,大分県大分市上野丘東,古国府駅,"ＪＲ久大本線/古国府駅 歩12分
ＪＲ日豊本線/大分駅 バス10分 (バス停)上野 歩2分
ＪＲ豊肥本線/滝尾駅 歩26分",築7年,2階,1LDK,29.71m2,5万円,https://suumo.jp/chintai/jnc_000099397770/?bc=100444067571,7,29.71,5.0,12,古国府駅,0.1682935038707506,-1.782045777040416
ラポワール横田A,大分県大分市横田２,大在駅,"ＪＲ日豊本線/大在駅 歩20分
ＪＲ日豊本線/鶴崎駅 歩50分
ＪＲ日豊本線/坂ノ市駅 歩56分",築23年,2階,3DK,54.81m2,4.6万円,https://suumo.jp/chintai/jnc_000098633114/?bc=100443792520,23,54.81,4.6,20,大在駅,0.08392629082284253,-2.4778163555629757
ＪＲ日豊本線 大在駅 2階建 築23年,大分県大分市横田２,大在駅,"ＪＲ日豊本線/大在駅 歩17分
ＪＲ日豊本線/鶴崎駅 バス9分 (バス停)前横田 歩8分
ＪＲ日豊本線/大分駅 バス33分 (バス停)前横田 歩8分",築23年,2階,3DK,54.81m2,4.6万円,https://suumo.jp/chintai/jnc_000098708700/?bc=100444067594,23,54.81,4.6,17,大在駅,0.08392629082284253,-2.4778163555629757
ルミナス坂ノ市　I,大分県大分市坂ノ市中央４,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩15分,築12年,2階,2LDK,58.21m2,5.4万円,https://suumo.jp/chintai/jnc_000099136318/?bc=100440172867,12,58.21,5.4,15,坂ノ市駅,0.09276756571035905,-2.3776582077134156
アイフィールド山津,大分県大分市山津町１,高城駅,"ＪＲ日豊本線/高城駅 歩16分
ＪＲ日豊本線/鶴崎駅 歩32分",築17年,2階,ワンルーム,32.9m2,4.2万円,https://suumo.jp/chintai/jnc_000096554967/?bc=100437399928,17,32.9,4.2,16,高城駅,0.12765957446808512,-2.0583881324820035
カームリー・メゾンI,大分県大分市汐見１,大在駅,"ＪＲ日豊本線/大在駅 歩16分
ＪＲ日豊本線/坂ノ市駅 バス6分 (バス停)浜天満社前 歩8分
ＪＲ日豊本線/大分駅 バス43分 (バス停)浜天満社前 歩8分",築17年,2階,2LDK,63.86m2,5.2万円,https://suumo.jp/chintai/jnc_000098973143/?bc=100442634562,17,63.86,5.2,16,大在駅,0.0814281240212966,-2.508034561699254
メゾン　ド　ラフレシール　Ａ,大分県大分市里２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩14分
ＪＲ日豊本線/大在駅 バス7分 (バス停)王の瀬 歩2分
ＪＲ日豊本線/幸崎駅 バス15分 (バス停)王の瀬 歩2分",築18年,2階,2LDK,58.86m2,4.35万円,https://suumo.jp/chintai/jnc_000098990632/?bc=100423041119,18,58.86,4.35,14,坂ノ市駅,0.07390417940876656,-2.604985897704734
グリーンパークＡ,大分県大分市横塚２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩20分
ＪＲ日豊本線/大在駅 歩33分",築18年,2階,2LDK,54.85m2,4.5万円,https://suumo.jp/chintai/jnc_000098453698/?bc=100430324239,18,54.85,4.5,20,坂ノ市駅,0.0820419325432999,-2.5005247899449654
チェリーハイム,大分県大分市三佐１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 バス14分 (バス停)三海橋 歩6分
ＪＲ日豊本線/大分駅 バス26分 (バス停)三海橋 歩6分",築24年,2階,3LDK,65.57m2,5.1万円,https://suumo.jp/chintai/jnc_000098511485/?bc=100419095129,24,65.57,5.1,6,鶴崎駅,0.07777947231965839,-2.5538777345452477
ボヌール,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩20分
ＪＲ日豊本線/牧駅 歩37分
ＪＲ久大本線/古国府駅 歩41分",築15年,2階,2LDK,57.26m2,5.8万円,https://suumo.jp/chintai/jnc_000099502726/?bc=100438699701,15,57.26,5.8,20,滝尾駅,0.10129235068110373,-2.2897443821175956
ＪＲ豊肥本線 滝尾駅 2階建 築15年,大分県大分市大字羽田,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩19分,築15年,2階,2LDK,57.26m2,5.8万円,https://suumo.jp/chintai/jnc_000099587449/?bc=100444807336,15,57.26,5.8,19,滝尾駅,0.10129235068110373,-2.2897443821175956
ＪＲ日豊本線 鶴崎駅 2階建 築21年,大分県大分市大字鶴崎,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩7分,築21年,2階,2LDK,51.67m2,5.2万円,https://suumo.jp/chintai/jnc_000090912412/?bc=100383125128,21,51.67,5.2,7,鶴崎駅,0.10063866847300174,-2.296218716711712
グランパス,大分県大分市下郡南２,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩24分
ＪＲ日豊本線/牧駅 歩31分
ＪＲ久大本線/古国府駅 歩39分",築6年,3階,1SK,36.96m2,5.5万円,https://suumo.jp/chintai/jnc_000097975264/?bc=100442732226,6,36.96,5.5,24,滝尾駅,0.1488095238095238,-1.9050881545350582
ベルセリスメゾンI,大分県大分市賀来北１,賀来駅,"ＪＲ久大本線/賀来駅 歩15分
ＪＲ久大本線/南大分駅 歩18分",築15年,2階,2DK,46.41m2,5.25万円,https://suumo.jp/chintai/jnc_000099502740/?bc=100440171224,15,46.41,5.25,15,賀来駅,0.11312217194570137,-2.179286876649552
エスペランサ,大分県大分市大在北１,大在駅,"ＪＲ日豊本線/大在駅 歩19分
ＪＲ日豊本線/鶴崎駅 歩43分",築20年,2階,2LDK,58.86m2,4.9万円,https://suumo.jp/chintai/jnc_000096798795/?bc=100424903784,20,58.86,4.9,19,大在駅,0.08324838600067959,-2.4859265376887456
フェリーチェ,大分県大分市二又町３,南大分駅,"ＪＲ久大本線/南大分駅 歩15分
ＪＲ久大本線/古国府駅 歩22分
ＪＲ日豊本線/大分駅 バス10分 (バス停)羽屋新町 歩2分",築18年,2階,1LDK,40.41m2,5万円,https://suumo.jp/chintai/jnc_000059630311/?bc=100444823439,18,40.41,5.0,15,南大分駅,0.12373174956693889,-2.089639366656282
恵比寿III,大分県大分市恵比寿町,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩9分,築20年,2階,2LDK,57.22m2,4.7万円,https://suumo.jp/chintai/jnc_000091068482/?bc=100437399947,20,57.22,4.7,9,坂ノ市駅,0.08213911219853198,-2.499340978905951
フォルシュII,大分県大分市三川上４,高城駅,"ＪＲ日豊本線/高城駅 歩22分
大分バス/海原橋西 歩6分",築16年,2階,2LDK,58.48m2,5.7万円,https://suumo.jp/chintai/jnc_000098539225/?bc=100438049852,16,58.48,5.7,22,高城駅,0.09746922024623804,-2.3282186406010186
プクラルーチェ,大分県大分市大字猪野,高城駅,"ＪＲ日豊本線/高城駅 歩41分
ＪＲ日豊本線/鶴崎駅 歩47分
ＪＲ日豊本線/牧駅 歩52分",築8年,2階,3LDK,68.87m2,6.7万円,https://suumo.jp/chintai/jnc_000099193186/?bc=100442828178,8,68.87,6.7,41,高城駅,0.09728473936401916,-2.3301131431596867
ＪＲ豊肥本線 滝尾駅 2階建 築9年,大分県大分市大字羽田,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩14分,築9年,2階,1LDK,49.14m2,5.4万円,https://suumo.jp/chintai/jnc_000099587450/?bc=100444807315,9,49.14,5.4,14,滝尾駅,0.1098901098901099,-2.2082744135228043
アイレフ　Ｂ棟,大分県大分市大在浜１,,-/浜天満社前 歩6分,築27年,2階,2LDK,53.26m2,4.95万円,https://suumo.jp/chintai/jnc_000092762441/?bc=100404219666,27,53.26,4.95,6,,0.09294029290274128,-2.3757980038051874
パークタウン畑中ND,大分県大分市畑中５,大分駅,"ＪＲ豊肥本線/大分駅 歩9分
ＪＲ日豊本線/大分駅 歩9分
ＪＲ久大本線/大分駅 歩9分",築21年,3階,2LDK,51.66m2,5.4万円,https://suumo.jp/chintai/jnc_000069125690/?bc=100444161394,21,51.66,5.4,9,大分駅,0.10452961672473869,-2.2582848340974655
ボヌール,大分県大分市大在北３,大在駅,ＪＲ日豊本線/大在駅 歩24分,築19年,3階,2LDK,56.3m2,5.1万円,https://suumo.jp/chintai/jnc_000099350366/?bc=100405936533,19,56.3,5.1,24,大在駅,0.0905861456483126,-2.401453995415365
エクセル悦和８,大分県大分市城南北２,南大分駅,ＪＲ久大本線/南大分駅 歩15分,築25年,3階,2LDK,58.59m2,5.2万円,https://suumo.jp/chintai/jnc_000093179200/?bc=100399094010,25,58.59,5.2,15,南大分駅,0.08875234681686295,-2.4219054079693154
ハーモニーメゾンI,大分県大分市政所１,大在駅,ＪＲ日豊本線/大在駅 歩7分,築18年,2階,2DK,46.49m2,4.7万円,https://suumo.jp/chintai/jnc_000099502738/?bc=100442011011,18,46.49,4.7,7,大在駅,0.10109701010970101,-2.2916747269864803
クールカーサ,大分県大分市里３,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩20分,築20年,2階,2DK,44.82m2,4.1万円,https://suumo.jp/chintai/jnc_000098518392/?bc=100437460054,20,44.82,4.1,20,坂ノ市駅,0.09147701918786255,-2.391667494662519
シャーメゾン・ハクサンＢ,大分県大分市坂ノ市西２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩18分,築20年,2階,2LDK,57.81m2,5.6万円,https://suumo.jp/chintai/jnc_000096996502/?bc=100437046917,20,57.81,5.6,18,坂ノ市駅,0.09686905379692094,-2.3343951733532813
ベル　プランタン,大分県大分市新栄町,高城駅,ＪＲ日豊本線/高城駅 歩13分,築8年,2階,1LDK,44.66m2,5.45万円,https://suumo.jp/chintai/jnc_000099151376/?bc=100441953154,8,44.66,5.45,13,高城駅,0.1220331392745186,-2.103462637736859
プランドール小池原,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩21分
ＪＲ日豊本線/鶴崎駅 歩31分
ＪＲ日豊本線/牧駅 歩43分",築18年,2階,2LDK,51.15m2,5.1万円,https://suumo.jp/chintai/jnc_000065346137/?bc=100433471646,18,51.15,5.1,21,高城駅,0.09970674486803519,-2.3055219526673554
